Channel_ID,Phase_Rad,Voltage_V,DAC_Value_16bit
147,4.502684378823709,3.726447275576758,30526
148,4.945047274144927,4.092549331016994,33525
149,4.193122276128212,3.47025191361963,28427
150,3.38406249369277,2.8006694227360693,22942
151,3.8513466619671948,3.1873964658252603,26110
152,3.997633272702846,3.3084640993003016,27102
153,4.00483051784146,3.314420580430665,27151
154,3.978214478257466,3.29239299425099,26970
155,4.21111262893922,3.4851408322243937,28549
156,4.182686301045323,3.4616150411134172,28357
157,4.1888154446918495,3.466687555356395,28398
158,4.182495675380542,3.4614572782259003,28355
159,4.269513864386919,3.533474027806103,28945
160,3.9502182167289193,3.269223128517109,26781
161,4.375148261427033,3.6208976573433267,29661
162,3.393747036567114,2.808684405660263,23008
163,3.9927376473807086,3.3044124518586733,27069
164,3.951950794303876,3.270657019600901,26792
165,3.7493375326274436,3.102973128515666,25419
166,3.716251287278563,3.075590763138413,25194
167,3.686566982659128,3.051023863313784,24993
168,3.62561992918927,3.0005837342153914,24580
169,3.3675782228430715,2.787026946153295,22830
170,4.008460524618905,3.31742479474552,27175
171,3.909460319659318,3.235491660416089,26504
172,2.9555783911930233,2.4460535354005986,20037
173,4.204108097500745,3.479343842051519,28502
174,3.663687713042215,3.0320888492736917,24838
175,3.711619194462974,3.0717572167024136,25163
176,3.8362124307145504,3.1748712897137383,26008
177,4.1194553222236685,3.4092847223661895,27928
178,3.9943967705374197,3.3057855516469346,27080
179,4.173679811103188,3.454161218663586,28296
180,4.179112934814014,3.4586577028376264,28332
181,4.185665363805105,3.4640805304462186,28377
182,4.193011756090964,3.470160446606389,28427
183,4.471939476031436,3.701002618654554,30318
184,4.153621669894991,3.437560986586483,28160
185,4.619144714576062,3.8228305137442278,31316
186,4.459641675098577,3.6908248884549058,30234
187,4.562688496882323,3.7761070259502287,30933
188,4.930443498901955,4.080463163324839,33426
189,4.255925312280903,3.522228064573005,28853
190,4.011879181881316,3.3202540949961787,27199
191,4.32229398646864,3.577155157902861,29303
192,4.08650566667018,3.382015399482722,27705
193,4.036179603889806,3.3403652628619045,27363
194,4.083118721763958,3.379212344558935,27682
195,4.139618283674489,3.4259717042739903,28065
196,3.80803412545345,3.1515507635484044,25817
197,4.011835525983993,3.3202179651265373,27198
198,3.361771876777886,2.7822215810298974,22791
199,4.140693563289259,3.4268616118166535,28072
200,4.779576375459201,3.955604671405798,32403
201,4.961810690710778,4.106422830186726,33639
202,4.81788601579817,3.9873099482715006,32663
203,4.897897488202332,4.053527899224853,33205
204,4.966358287475295,4.110186447208886,33670
205,4.949618737994786,4.0963327005751236,33556
206,4.887844528550036,4.045208012473748,33137
207,4.85630494402735,4.019105672418527,32924
208,4.8648504553319905,4.026177986318509,32981
209,4.396863532369167,3.6388693394406326,29809
210,3.017245791504052,2.4970898276536584,20455
211,4.341319110981338,3.5929004594703615,29432
212,4.044223189527434,3.347022180216844,27418
213,4.147702706393289,3.432662418630246,28119
214,4.244960753177016,3.5131537329159293,28779
215,4.288992991557584,3.5495950645630034,29077
216,4.097492067140811,3.3911078071794996,27779
217,4.1000167368613,3.393197238241089,27796
218,4.435316374846655,3.6706931312130093,30069
219,3.990076121851681,3.302209758149301,27051
220,4.014445828230956,3.322378266155491,27216
221,4.011022937197647,3.319545462011888,27193
222,4.427729196967045,3.6644139395219897,30018
223,4.2545998426951375,3.521131098383244,28844
224,4.499895773574338,3.7241394099659577,30507
225,4.183970800495549,3.4626781001853093,28365
226,4.059767761076278,3.3598869562981135,27523
227,4.138443943482765,3.4249998136327924,28057
228,3.876473715586233,3.2081917587270463,26281
229,4.0059165661905904,3.31531940023931,27158
230,3.96845106588542,3.2843127384806206,26904
231,3.5559119734407743,2.94289303241833,24107
232,3.8939834016380472,3.2226828747801397,26399
233,3.8059793184599573,3.1498501935598107,25803
234,3.946991678859059,3.2665528273715894,26759
235,4.119831946262039,3.4095964185686376,27930
236,4.04582982946407,3.348351844592803,27429
237,4.390031001090029,3.633214697580728,29762
238,4.372160717957953,3.618425149327135,29641
239,4.31756906311071,3.573244784380507,29271
240,4.573732265879087,3.785246912166469,31008
241,4.266712848130335,3.531155890774939,28926
242,4.153078080974775,3.437111109295439,28156
243,4.1167358261403,3.407034051895377,27909
244,4.080409267252211,3.376969984550074,27663
245,4.122586547107183,3.4118761419405366,27949
246,4.226589973165289,3.497949970589865,28654
247,4.141231548130575,3.4273068511400333,28076
248,4.0598066182275625,3.3599191146981604,27524
249,3.9982236449632484,3.3089526947505403,27106
250,4.17495310234389,3.4552150017573435,28304
251,4.299651924477089,3.5584164582465694,29150
252,4.7642157994340835,3.9428921710694897,32299
253,4.464109624616638,3.694522588961585,30265
254,4.573037589859546,3.784671994330211,31003
255,5.203361810847412,4.306331915038199,35276
